name,website,industry,company_size,headquarters,founded,specialties
Apipana.io,https://apipana.io/,IT Services and IT Consulting,11-50 employees,"Granada, Andalusia",2024,"Quality Software, SDLC, Frontend development, Full stack development, Software Development, REACT, Java, Angular, Nearshoring, DevOps, Software Quality Assurance, SQA, Software Development Life Cycle, QA, QC, BDD, Quality Control, Quality Assurance, Behavior-Driven Development, and Best Coding"
NTT DATA Europe & Latam,,IT Services and IT Consulting,"10,001+ employees",,,
myGwork - LGBTQ+ Business Community,http://mygwork.com/,"Technology, Information and Internet",11-50 employees,"London, England",2014,"recruitment, networking, diversity, inclusion, LGBT rights, Talent attraction, Equity, and Trans rights"
Abai,http://www.abaigroup.com,IT Services and IT Consulting,"10,001+ employees","Madrid, Comunidad de Madrid",2019,
Tenth Revolution Group,https://www.tenthrevolution.com,Staffing and Recruiting,"1,001-5,000 employees",,,
Plexus Tech,www.plexus.es,IT Services and IT Consulting,"1,001-5,000 employees","Santiago de Compostela, Galicia / Galiza",2000,
knowmad mood,,IT Services and IT Consulting,"1,001-5,000 employees","Las Rozas, Madrid",,
Level Up.,https://www.levelupgaming.io,Computer Games,11-50 employees,,2021,"Talent Solutions, Talent Acquisition, Game Development, Immersive Technology, Augmented Reality, Virtual Reality, Mixed Reality, Artificial Intelligence, Web3, Blockchain, Game Production, and Game Design"
knowmad mood,,IT Services and IT Consulting,"1,001-5,000 employees","Las Rozas, Madrid",,
knowmad mood,,IT Services and IT Consulting,"1,001-5,000 employees","Las Rozas, Madrid",,
GFT Technologies,https://www.gft.com,IT Services and IT Consulting,"10,001+ employees","Stuttgart, Baden-Württemberg",1987,"Information Technology, ServiceNow, Technology, Banking, Insurance, Industry, Cloud, IT, Software, Blockchain, DLT, and AI"
knowmad mood,,IT Services and IT Consulting,"1,001-5,000 employees","Las Rozas, Madrid",,
Oxigent Technologies,http://www.oxigent.io,IT Services and IT Consulting,201-500 employees,"Barcelona, Catalonia",2019,"Fullstack development, QA Automation, Agility, DevOps, Systems, Embedded SW, Hardware, Mechatronics, and Mechanics"
