title,company,location,workplace,job_type,level,applicants,salary,posted,skills
Cloud Engineer,KBC Technologies Group,"Barcelona, Catalonia, Spain",On-site,Full-time,Mid-Senior level,40,,3 weeks ago,['Azure']
Fullstack Engineer,The TMRW Foundation,"Alicante, Valencian Community, Spain",On-site,Full-time,Mid-Senior level,48,,1 week ago,"['JavaScript', 'TypeScript', 'React', 'GraphQL', 'AWS', 'Azure', 'SQL', 'C++']"
Cloud Engineer,Ubique Systems,"Sant Cugat del Vallès, Catalonia, Spain",Hybrid,Full-time,Mid-Senior level,25,,1 week ago,['Azure']
Senior Frontend Engineer,Hirechain,"Barcelona, Catalonia, Spain",On-site,Full-time,Mid-Senior level,84,,3 weeks ago,"['React', 'JavaScript', 'HTML']"
Cloud Security Engineer,ENCAMINA,Greater Madrid Metropolitan Area,Hybrid,Full-time,Mid-Senior level,38,,3 weeks ago,['Azure']
Ingeniero de Software C++,Intell-IT,"Rivas-Vaciamadrid, Community of Madrid, Spain",On-site,Full-time,,25,,2 days ago,"['C++', 'Python']"
Full Stack Engineer (JS & Python),LambdaLoopers,Spain,Remote,Full-time,,100,,1 week ago,['Python']
Ingeniero en Inteligencia Artificial & Computer Vision,Vicomtech,"Basque Country, Spain",On-site,Full-time,Mid-Senior level,100 people clicked apply,,Reposted 2 weeks ago,"['Python', 'C++', 'OpenCV', 'TensorFlow', 'Keras', 'PyTorch']"
Cloud Engineer,Veridas,"Pamplona, Chartered Community of Navarre, Spain",Hybrid,Full-time,Mid-Senior level,21 people clicked apply,,2 weeks ago,"['Docker', 'Python', 'Bash', 'AWS']"
🏠Fullstack Developer .Net / React (100% remoto) 🏠,knowmad mood,Spain,Remote,Full-time,Mid-Senior level,100,,Reposted 6 days ago,['React']
Cloud Engineer AWS,Babel,Spain,Remote,Full-time,Associate,100,,4 weeks ago,"['AWS', 'Docker']"
Programador/a Python - Power Platform,Métrica Consulting,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,Mid-Senior level,100,,Reposted 5 days ago,['Python']
Senior Data Engineer,Orain,"Barcelona, Catalonia, Spain",Hybrid,Full-time,Mid-Senior level,36,,2 weeks ago,"['SQL', 'Python']"
Senior Backend Developer,Eholo,"Mataró, Catalonia, Spain",Hybrid,Full-time,,82,,Reposted 3 weeks ago,"['Laravel', 'AWS', 'PHP', 'Symfony', 'TypeScript', 'Playwright']"
PHP Developer,Capitole,"Alicante, Valencian Community, Spain",Hybrid,Full-time,Associate,100,,Reposted 1 week ago,"['PHP', 'Azure', 'Kafka', 'Kubernetes']"
Data Engineer - SAP,Capitole,"Madrid, Community of Madrid, Spain",Remote,Full-time,Associate,83,,Reposted 1 week ago,['Snowflake']
Programador full stack,EXCELIA,"Madrid, Community of Madrid, Spain",On-site,Full-time,Mid-Senior level,100,,3 weeks ago,"['Angular', 'TypeScript', 'SQL', 'NoSQL', 'PostgreSQL', 'Azure', 'Kafka', 'AWS']"
Junior Software Engineer (F/M),Deutsche Telekom,"Valencia, Valencian Community, Spain",On-site,Full-time,Associate,100,,Reposted 2 weeks ago,"['Spring', 'Java', 'PostgreSQL', 'Docker', 'Kubernetes']"
Senior Software Engineer,Marbill Technologies,Greater Marbella Metropolitan Area,Remote,Full-time,Mid-Senior level,100,,2 weeks ago,"['Go', 'PHP', 'Laravel', 'JavaScript', 'TypeScript', 'SQL']"
Data Engineer,Capitole,"Alicante, Valencian Community, Spain",Hybrid,Full-time,Associate,69,,1 week ago,"['Azure', 'SQL', 'Python', 'Spark', 'Kafka', 'DataBricks']"
Azure DevOps Engineer,Iwantic,Spain,Remote,Full-time,Mid-Senior level,46 people clicked apply,,1 week ago,"['Azure', 'Kubernetes', 'Go', 'Bash', 'Python']"
Desarrollador Front-End (Angular),knowmad mood,Spain,Remote,Full-time,Mid-Senior level,100,,Reposted 1 week ago,['Angular']
Frontend Developer Angular,Axpe Consulting,Greater Madrid Metropolitan Area,Hybrid,Full-time,Mid-Senior level,100,,1 week ago,"['Angular', 'HTML', 'CSS']"
Desarrollador Genesys Cloud -IVR,Recodme,"Madrid, Community of Madrid, Spain",On-site,Full-time,Mid-Senior level,26,,3 weeks ago,"['JavaScript', 'Python', 'AWS']"
Embedded Software Engineer,Teldat,"Tres Cantos, Community of Madrid, Spain",Hybrid,Full-time,Associate,100,,Reposted 5 days ago,"['C', 'C++', 'Bash', 'Python']"
Desarrollador de eCommerce / Senior-Junior PHP Developer,"Denox, Expertos en Comercio Electrónico","Madrid, Community of Madrid, Spain",On-site,Full-time,,100,,3 months ago,"['PHP', 'Symfony', 'MySQL', 'HTML', 'CSS']"
Business Developer-Azure VVASE,Valley Advanced Solutions España,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,Mid-Senior level,33 people clicked apply,,2 weeks ago,['Azure']
Software Development Engineer,GTD,"Cadiz, Andalusia, Spain",Hybrid,Full-time,Associate,100,,Reposted 1 week ago,"['C', 'C++', 'Shell']"
Senior Platform Engineer,Sateliot,"Barcelona, Catalonia, Spain",Hybrid,Full-time,Associate,41,,2 weeks ago,"['AWS', 'Python', 'Bash', 'Docker', 'Kubernetes']"
Software Developer,Mercedes-Benz Group Services Madrid,"Málaga, Andalusia, Spain",Hybrid,Full-time,Associate,100,,Reposted 3 weeks ago,"['Spring', 'Docker', 'Kubernetes', 'Kafka']"
Senior Xamarin/.Net MAUI Developer,Kiteris,Spain,Remote,Full-time,Associate,58,,Reposted 1 week ago,"['PHP', 'Jenkins']"
Ingeniero/a de Software Embebido,BlueLeaders,Greater La Coruña Area,Hybrid,Full-time,Associate,52 people clicked apply,,3 weeks ago,"['Python', 'Rust']"
Software Engineer Intern (Hybrid),Thales,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,,100 people clicked apply,,Reposted 2 weeks ago,"['JavaScript', 'TypeScript']"
Senior Java Software Engineer,Lognext,Spain,Remote,Full-time,Mid-Senior level,100,,Reposted 1 month ago,"['Java', 'Spring', 'Jenkins']"
Fullstack Developer (React & Node),knowmad mood,Spain,Remote,Full-time,Associate,100,,Reposted 1 week ago,['React']
Data Engineer,Optimissa,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,,100,,4 weeks ago,"['SQL', 'Python']"
React Developer,K-LAGAN,"Barcelona, Catalonia, Spain",Hybrid,Full-time,Mid-Senior level,100,,2 weeks ago,['React']
Angular Developer,Kiteris,"Barcelona, Catalonia, Spain",Hybrid,Full-time,Associate,100,,Reposted 3 weeks ago,"['Angular', 'PHP', 'Java']"
Data Engineer (Hybrid),Recodme,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,Associate,43,,2 weeks ago,"['PySpark', 'Azure']"
QA Automation Engineer,Calímaco,"Las Rozas de Madrid, Community of Madrid, Spain",Hybrid,Full-time,Associate,31,,5 days ago,"['MySQL', 'Python', 'JavaScript', 'Selenium']"
Tech Lead .NET,Aderen,"Madrid, Community of Madrid, Spain",Hybrid,Full-time,Mid-Senior level,48,,Reposted 8 hours ago,"['SQL', 'NoSQL']"
Full Stack Developer,OQtima,"Barcelona, Catalonia, Spain",On-site,Full-time,,79 people clicked apply,,1 week ago,"['JavaScript', 'CSS', 'HTML', 'PostgreSQL', 'React']"
Desarrollador fullstack React y .net,knowmad mood,Spain,Remote,Full-time,Mid-Senior level,100,,2 weeks ago,"['React', 'Azure']"
Software Engineer - Intern,Datadog,"Madrid, Community of Madrid, Spain",,Internship,,100 people clicked apply,,Reposted 6 days ago,['Kubernetes']
Thetaray - Data Science Engineer,CORUS Consulting,Spain,Remote,Full-time,Mid-Senior level,98,,1 week ago,['SQL']
Cloud Engineer,Excelloit Consultancy Services,"Barcelona, Catalonia, Spain",On-site,Full-time,Associate,28,,2 weeks ago,['Azure']
Cloud Engineer,Avincis,"Muchamiel, Valencian Community, Spain",Hybrid,Full-time,Mid-Senior level,19,,1 week ago,['Azure']
Full Stack Engineer,Sonas Wedding Venue Software,"Madrid, Community of Madrid, Spain",On-site,Full-time,,100,,2 weeks ago,"['MongoDB', 'TypeScript', 'JavaScript', 'Playwright', 'HTML', 'CSS', 'AWS', 'React']"
Senior Frontend Developer,K-LAGAN,"Catalonia, Spain",Hybrid,Full-time,Mid-Senior level,100,,3 weeks ago,"['React', 'JavaScript', 'Angular']"
Senior .NET Developer,isolutions AG,"Barcelona, Catalonia, Spain",Hybrid,Full-time,Mid-Senior level,100 people clicked apply,,Reposted 2 days ago,"['C#', 'Azure', 'TypeScript', 'React']"
